Datatype,Operation,MI250,MI250X,MI300A,MI300X,MI325X,MI350X,MI355X
int8, Add,10110.39844,10713.4834,44726.47656,60262.78125,65522.92578,64162.98047,77044.29688
int8, Mul,10177.71582,10783.12402,47091.09766,63095.66406,69116.875,69958.03906,77290.01563
int8, MulAdd,19932.18359,20940.11133,51895.42969,69129.20313,75225.11719,70750.17969,77639.89844
int8, Div,1486.080444,1574.035522,5846.757812,7728.696289,8273.188477,7548.867188,8270
int8, ShiftLeft,10561.18457,11191.29492,29931.15625,39761.72656,39775.64844,35726.07031,38930.42969
int8, ShiftRight,10498.49902,11136.16992,29916.48047,39705.5,39842.47656,35676.38672,39028.07422
int8, mfma,168710.9063,178484.1563,1717980,2270143.75,2472577.5,4542357.5,4977341
int16, Add,10128.77734,10720.9082,44462.91406,59174.95703,65034.88672,63500.5625,76924.42188
int16, Mul,10195.53613,10790.58203,46836.24609,62226.03125,67882.82813,69595.40625,77237.54688
int16, MulAdd,19902.67578,20821.33203,51899.50781,68606.53125,75108.21094,71158.67188,77749.79688
int16, Div,1486.563599,1572.356079,5962.3125,7868.77832,8554.201172,7853.445312,8581.080078
int16, ShiftLeft,10550.27734,11164.63965,29876.26563,39699.73828,39818.77344,35605.4375,38924.8125
int16, ShiftRight,10481.87305,11108.18262,29822.21875,39652.64844,39772.58203,35542.82422,38939.46875
int32, Add,9825.702148,10403.05566,37236.32031,45906.30469,52118.68359,53732.58594,64769.29297
int32, Mul,9898.587891,10476.09961,40413.07031,51459.08594,58186.4375,35430.48438,38717.60156
int32, MulAdd,18402.35352,16805.23242,41570.14844,53728.88672,60441.85156,58631.07422,71359.36719
int32, Div,935.932251,992.152527,3945.58252,5280.914551,5759.053223,4461.612305,4874.608887
int32, ShiftLeft,10509.62988,11119.43164,29749.33789,39589.29297,39693.14844,35564.08984,38840.71875
int32, ShiftRight,10516.84668,11128.85645,47838.92188,64000.07031,69361.35938,69268.16406,75532.66406
