sweep,log_basename,label,num_points,peak_compute_gflops,peak_bandwidth_gbs,roofline_pivot_ai,alpha,error
hbm,hbm_fp16_add.log,fp16_add,51,10390.82519,896.477112,11.59073116,0.7168877492,
hbm,hbm_fp16_mul.log,fp16_mul,51,10367.50391,896.758178,11.56109212,0.73176699,
hbm,hbm_fp16_muladd.log,fp16_muladd,51,10067.82812,811.527527,12.40602172,0.7695773585,
hbm,hbm_fp16_rsqrt.log,fp16_rsqrt,51,2678.281006,839.09674,3.191862009,0.7738905037,
hbm,hbm_fp32_add.log,fp32_add,51,10137.80469,1289.714112,7.860505358,0.8333727855,
hbm,hbm_fp32_mul.log,fp32_mul,51,10286.15332,1286.4021,7.996063843,0.824121064,
hbm,hbm_fp32_muladd.log,fp32_muladd,51,19726.82812,1280.571166,15.40471053,0.8110880377,
hbm,hbm_fp32_rsqrt.log,fp32_rsqrt,51,2677.14502,1283.222168,2.086267746,0.7847552726,
hbm,hbm_fp64_add.log,fp64_add,51,9656.676758,1348.709472,7.159938414,0.8835114341,
hbm,hbm_fp64_mul.log,fp64_mul,51,9900.302734,1346.848266,7.350718699,0.8313822139,
hbm,hbm_fp64_muladd.log,fp64_muladd,51,18249.14648,1342.00244,13.59844508,0.8708850823,
hbm,hbm_fp64_rsqrt.log,fp64_rsqrt,51,2554.771729,1356.880984,1.882826688,0.8541355962,
hbm,hbm_int32_mul.log,int32_mul,51,9906.942383,1290.093872,7.679241486,0.841564391,
hbm,hbm_int32_muladd.log,int32_muladd,51,18224.50781,1255.876586,14.51138433,0.7986531626,
hbm,hbm_int8_leftshift.log,int8_leftshift,51,10564.39648,753.885071,14.0132719,0.7373554688,
hbm,hbm_bf16_mfma.log,bf16_mfma,62,85125.52344,1271.024891,66.97392318,0.9429148737,
hbm,hbm_fp16_mfma.log,fp16_mfma,62,169991.7031,1270.522086,133.796732,0.9426612432,
hbm,hbm_fp32_mfma.log,fp32_mfma,62,42550.10938,1270.037489,33.50303416,0.9449314603,
hbm,hbm_fp64_mfma.log,fp64_mfma,62,40129.44141,1272.804075,31.52837282,0.7882054931,
hbm,hbm_fp8_mfma.log,fp8_mfma,62,159.453598,1275.628784,0.125,0.9993990019,
hbm,hbm_int8_mfma.log,int8_mfma,62,168548.7188,1270.96587,132.6146695,0.94315558,
lds,lds_bf16_mfma.log,bf16_mfma,36,84744.41406,21094.33744,4.017401083,0.9095068027,
lds,lds_fp16_mfma.log,fp16_mfma,36,169221.5312,21119.51825,8.012565876,0.9077805139,
lds,lds_fp32_mfma.log,fp32_mfma,36,42256.092096,21095.962500,2.006541758,0.9091719195,
lds,lds_fp64_mfma.log,fp64_mfma,36,38160.99609,21128.19669,1.806164372,0.3646465572,
lds,lds_fp8_mfma.log,fp8_mfma,36,71.373795,23791.265,0.003,0.9994504049,
lds,lds_int8_mfma.log,int8_mfma,36,167748.5625,21092.12306,7.953137861,0.9066037168,
lds,lds_fp16_add.log,fp16_add,36,10385.89453,22525.2106,0.4610786871,0.6650989359,
lds,lds_fp16_mul.log,fp16_mul,36,10376.22168,22525.3982,0.4606454273,0.6865105114,
lds,lds_fp16_muladd.log,fp16_muladd,36,10062.04102,21447.19754,0.4691541167,0.6910222485,
lds,lds_fp16_rsqrt.log,fp16_rsqrt,36,2674.608398,22504.6708,0.1188468128,0.6777147198,
lds,lds_fp32_add.log,fp32_add,36,10125.01269,22668.3686,0.4466581991,0.6562126847,
lds,lds_fp32_mul.log,fp32_mul,36,10303.75195,22656.8756,0.4547737356,0.6600976193,
lds,lds_fp32_muladd.log,fp32_muladd,36,19597.04297,22658.4838,0.8648876572,0.6273477311,
lds,lds_fp32_rsqrt.log,fp32_rsqrt,36,2672.887207,22626.1016,0.1181329093,0.651613654,
lds,lds_fp64_add.log,fp64_add,36,9508.644531,23783.75767,0.3997957204,0.4767707154,
lds,lds_fp64_mul.log,fp64_mul,36,9629.582031,23769.70933,0.40511989,0.4804167322,
lds,lds_fp64_muladd.log,fp64_muladd,36,17755.20703,22676.6022,0.7829747541,0.5194224954,
lds,lds_fp64_rsqrt.log,fp64_rsqrt,36,2549.748535,23783.81867,0.1072051789,0.373477938,
lds,lds_int32_mul.log,int32_mul,36,9893.404297,22656.6376,0.4366669261,0.6194057821,
lds,lds_int32_muladd.log,int32_muladd,36,18309.2793,22649.6308,0.8083698785,0.6196351106,
lds,lds_int8_leftshift.log,int8_leftshift,36,10550.4209,21311.18069,0.4950650576,0.7640813679,
