sweep,log_basename,label,num_points,peak_compute_gflops,peak_bandwidth_gbs,roofline_pivot_ai,alpha,error
hbm,hbm_bf16_mfma.log,bf16_mfma,62,847508.25,2764.099222,306.6128173,0.22369874,
hbm,hbm_fp16_add.log,fp16_add,51,49475.71875,1999.397338,24.74531591,0.09727356,
hbm,hbm_fp16_mfma.log,fp16_mfma,62,843549.1875,2759.349956,305.7057644,0.220467416,
hbm,hbm_fp16_mul.log,fp16_mul,51,50729,2016.580444,25.15595158,0.388733204,
hbm,hbm_fp16_muladd.log,fp16_muladd,51,27558.50195,2156.34668,12.7801815,0.414256368,
hbm,hbm_fp16_rsqrt.log,fp16_rsqrt,51,7532.27002,2189.354248,3.440407155,0.769623093,
hbm,hbm_fp32_add.log,fp32_add,51,41457.70703,2491.531496,16.6394473,-0.295209523,
hbm,hbm_fp32_mfma.log,fp32_mfma,62,118660.5938,2031.522579,58.40968491,0.56522593,
hbm,hbm_fp32_mul.log,fp32_mul,51,48584.58984,2525.26416,19.23940894,0.193410341,
hbm,hbm_fp32_muladd.log,fp32_muladd,51,77477.29688,2317.249756,33.43502213,-0.457595653,
hbm,hbm_fp32_rsqrt.log,fp32_rsqrt,51,7531.325684,2764.50122,2.724298195,0.694057171,
hbm,hbm_fp64_add.log,fp64_add,51,33227.30859,2687.647704,12.36297025,-0.61724374,
hbm,hbm_fp64_mfma.log,fp64_mfma,62,118773.8516,2256.277002,52.64152028,0.518803703,
hbm,hbm_fp64_mul.log,fp64_mul,51,39086.13672,2694.380616,14.50653872,-0.218509625,
hbm,hbm_fp64_muladd.log,fp64_muladd,51,40658.02734,2646.136232,15.36505447,-0.308837652,
hbm,hbm_fp64_rsqrt.log,fp64_rsqrt,51,7306.591797,2682.407224,2.723893573,0.465912789,
hbm,hbm_fp8_mfma.log,fp8_mfma,62,1660924.125,2170.122039,765.3597795,0.221518698,
hbm,hbm_int32_mul.log,int32_mul,51,40374.09375,2636.52124,15.31339598,0.070430135,
hbm,hbm_int32_muladd.log,int32_muladd,51,41415.10938,2187.51416,18.93249888,-0.359503526,
hbm,hbm_int8_leftshift.log,int8_leftshift,51,29941.61719,1644.916382,18.20251626,0.701004967,
hbm,hbm_int8_mfma.log,int8_mfma,62,1709250.875,2220.947308,769.6044247,0.204939237,
lds,lds_bf16_mfma.log,bf16_mfma,36,812792.0625,60373.67468,13.46268994,0.304614686,
lds,lds_fp16_add.log,fp16_add,36,45029.86719,65941.2995,0.682878068,0.568699054,
lds,lds_fp16_mfma.log,fp16_mfma,36,809373.125,60382.75582,13.40404415,0.305026478,
lds,lds_fp16_mul.log,fp16_mul,36,44976.45312,65947.98275,0.681998922,0.578825562,
lds,lds_fp16_muladd.log,fp16_muladd,36,27419.3125,59032.82754,0.464475676,0.493282782,
lds,lds_fp16_rsqrt.log,fp16_rsqrt,36,7519.3125,61759.3384,0.121751831,0.624244921,
lds,lds_fp32_add.log,fp32_add,36,33906.11719,65938.84275,0.514205524,0.646661729,
lds,lds_fp32_mfma.log,fp32_mfma,36,99281.8125,60719.29256,1.635095014,0.709957586,
lds,lds_fp32_mul.log,fp32_mul,36,37871.71484,65949.2035,0.574255834,0.690206163,
lds,lds_fp32_muladd.log,fp32_muladd,36,68864,65922.081,1.044627217,0.615912584,
lds,lds_fp32_rsqrt.log,fp32_rsqrt,36,7516.388184,62366.3514,0.120519928,0.537992659,
lds,lds_fp64_add.log,fp64_add,36,18894.30273,65900.28375,0.286710491,0.564018424,
lds,lds_fp64_mfma.log,fp64_mfma,36,115267.1406,65194.80125,1.768041905,0.431566133,
lds,lds_fp64_mul.log,fp64_mul,36,20938.85547,65933.487,0.31757543,0.612511598,
lds,lds_fp64_muladd.log,fp64_muladd,36,33083.08984,65946.06775,0.501668878,0.534669014,
lds,lds_fp64_rsqrt.log,fp64_rsqrt,36,7303.541504,65425.60333,0.111631244,0.230008554,
lds,lds_fp8_mfma.log,fp8_mfma,36,1568423.25,60373.03814,25.97886902,0.305608602,
lds,lds_int32_mul.log,int32_mul,36,33572.73047,65876.1825,0.509633819,0.470776905,
lds,lds_int32_muladd.log,int32_muladd,36,40710.86328,65956.192,0.61724096,0.491784212,
lds,lds_int8_leftshift.log,int8_leftshift,36,29890.15039,57947.52854,0.515814067,0.71100604,
lds,lds_int8_mfma.log,int8_mfma,36,1612021.375,60373.76621,26.70069264,0.304731677,
