sweep,log_basename,label,num_points,peak_compute_gflops,peak_bandwidth_gbs,roofline_pivot_ai,alpha,error
hbm,hbm_bf16_mfma.log,bf16_mfma,62,1127017.25,3250.825703,346.6864584,0.38655093,
hbm,hbm_fp16_add.log,fp16_add,51,62292.78125,3050.503174,20.42049383,0.175884583,
hbm,hbm_fp16_mfma.log,fp16_mfma,62,1124007.875,3259.417665,344.8492923,0.378206353,
hbm,hbm_fp16_mul.log,fp16_mul,51,63618.32812,2963.25415,21.46907586,0.705478098,
hbm,hbm_fp16_muladd.log,fp16_muladd,51,36022.56641,2563.346679,14.05294364,0.528194983,
hbm,hbm_fp16_rsqrt.log,fp16_rsqrt,51,10036.61523,3000.58374,3.344887563,0.801005776,
hbm,hbm_fp32_add.log,fp32_add,51,49153.92188,3866.316896,12.7133712,0.100296547,
hbm,hbm_fp32_mfma.log,fp32_mfma,62,157137.8125,3076.888935,51.07035575,0.665617925,
hbm,hbm_fp32_mul.log,fp32_mul,51,61115.39062,3849.198975,15.87743087,0.614351338,
hbm,hbm_fp32_muladd.log,fp32_muladd,51,90507.88281,3808.905274,23.7621774,-0.024641916,
hbm,hbm_fp32_rsqrt.log,fp32_rsqrt,51,10035.18164,3836.127928,2.615966367,0.751911066,
hbm,hbm_fp64_add.log,fp64_add,51,35204.01953,3056.46875,11.51787321,0.268168845,
hbm,hbm_fp64_mfma.log,fp64_mfma,62,157293.8438,3398.535232,46.28283452,0.669589472,
hbm,hbm_fp64_mul.log,fp64_mul,51,51435.37891,2931.354736,17.54662384,0.378474866,
hbm,hbm_fp64_muladd.log,fp64_muladd,51,48954.35938,3012.903646,16.24823265,0.327479607,
hbm,hbm_fp64_rsqrt.log,fp64_rsqrt,51,9315.358398,2970.632812,3.135816167,0.655184133,
hbm,hbm_fp8_mfma.log,fp8_mfma,62,2158199.75,3870.126171,557.6561732,0.337967006,
hbm,hbm_int32_mul.log,int32_mul,51,48851.62891,3837.823486,12.72899316,0.622796333,
hbm,hbm_int32_muladd.log,int32_muladd,51,51385.76953,3742.169922,13.73154362,-0.070845217,
hbm,hbm_int8_leftshift.log,int8_leftshift,51,39893.37891,2106.830566,18.93525732,0.780352976,
hbm,hbm_int8_mfma.log,int8_mfma,62,2236435,3262.847038,685.4244083,0.374259763,
lds,lds_bf16_mfma.log,bf16_mfma,36,1061346.75,80037.68486,13.26058783,0.293611398,
lds,lds_fp16_add.log,fp16_add,36,59905.92969,87443.52725,0.68508135,0.547540233,
lds,lds_fp16_mfma.log,fp16_mfma,36,1058021.25,79995.34389,13.2260354,0.290916989,
lds,lds_fp16_mul.log,fp16_mul,36,59796.00781,87468.82625,0.683626503,0.559383195,
lds,lds_fp16_muladd.log,fp16_muladd,36,34785.23828,76517.60631,0.454604371,0.476828609,
lds,lds_fp16_rsqrt.log,fp16_rsqrt,36,10039.36133,80327.5024,0.124980374,0.577483404,
lds,lds_fp32_add.log,fp32_add,36,44387.53906,87458.29775,0.507528047,0.643776385,
lds,lds_fp32_mfma.log,fp32_mfma,36,132079.7188,80494.67633,1.640850361,0.692807065,
lds,lds_fp32_mul.log,fp32_mul,36,50408.06641,87435.44,0.576517559,0.681870476,
lds,lds_fp32_muladd.log,fp32_muladd,36,86248.16406,87437.294,0.986400197,0.609611859,
lds,lds_fp32_rsqrt.log,fp32_rsqrt,36,10036.40039,81400.2746,0.123296886,0.486591016,
lds,lds_fp64_add.log,fp64_add,36,24685.32031,87418.663,0.282380438,0.564073541,
lds,lds_fp64_mfma.log,fp64_mfma,36,152366.4844,86355.28575,1.764414107,0.426155754,
lds,lds_fp64_mul.log,fp64_mul,36,27825.84375,87450.3175,0.318190311,0.604517156,
lds,lds_fp64_muladd.log,fp64_muladd,36,42746.10156,87467.52925,0.488708232,0.530166063,
lds,lds_fp64_rsqrt.log,fp64_rsqrt,36,9297.902344,85783.58967,0.108387891,0.194230336,
lds,lds_fp8_mfma.log,fp8_mfma,36,2048861,80014.71818,25.60605157,0.293615952,
lds,lds_int32_mul.log,int32_mul,36,43465.69531,87390.46475,0.497373431,0.468285727,
lds,lds_int32_muladd.log,int32_muladd,36,52381.19531,87440.99425,0.5990462,0.501934081,
lds,lds_int8_leftshift.log,int8_leftshift,36,39869.46094,74891.04754,0.532366181,0.659586291,
lds,lds_int8_mfma.log,int8_mfma,36,2103768.25,80013.58468,26.29263841,0.292620751,
